日期,最高温度(℃),最低温度(℃),天气状况,风力风向,平均温度(℃)
2024-01-01,6,-2,多云,东南风3级,2.0
2024-01-02,10,3,中雨,西北风5级,6.5
2024-01-03,12,6,雾,南风1级,9.0
2024-01-04,15,4,雾,西北风5级,9.5
2024-01-05,14,7,雷阵雨,南风3级,10.5
2024-01-06,11,3,雾,东南风2级,7.0
2024-01-07,6,10,雾,东南风3级,8.0
2024-01-08,5,-2,晴,东南风5级,1.5
2024-01-09,3,-3,雷阵雨,西风2级,0.0
2024-01-10,6,-2,中雨,南风4级,2.0
2024-01-11,4,9,多云,东风4级,6.5
2024-01-12,6,0,中雨,北风3级,3.0
2024-01-13,8,-1,阴,东北风2级,3.5
2024-01-14,4,-1,晴,北风3级,1.5
2024-01-15,1,10,多云,南风5级,5.5
2024-01-16,3,-4,中雨,西风2级,-0.5
2024-01-17,14,4,中雨,西南风2级,9.0
2024-01-18,4,-3,雾,西南风5级,0.5
2024-01-19,8,-3,中雨,西北风1级,2.5
2024-01-20,3,-5,小雨,西北风1级,-1.0
2024-01-21,15,5,阴,西南风1级,10.0
2024-01-22,15,-2,雾,东南风2级,6.5
2024-01-23,15,4,多云,北风1级,9.5
2024-01-24,10,-5,大雨,东南风5级,2.5
2024-01-25,10,-2,大雨,东北风2级,4.0
2024-01-26,8,-1,小雨,东风5级,3.5
2024-01-27,10,4,雷阵雨,西北风4级,7.0
2024-01-28,14,6,雷阵雨,北风3级,10.0
2024-01-29,13,2,雾,东风3级,7.5
2024-01-30,5,-5,多云,西南风3级,0.0
2024-01-31,5,-3,中雨,北风1级,1.0
2024-02-01,6,-4,中雨,东南风2级,1.0
2024-02-02,11,5,阴,东北风2级,8.0
2024-02-03,12,9,阴,东风1级,10.5
2024-02-04,15,-5,晴,西北风1级,5.0
2024-02-05,14,5,小雨,西南风5级,9.5
2024-02-06,10,7,雷阵雨,西风4级,8.5
2024-02-07,8,-5,雾,东风4级,1.5
2024-02-08,8,10,阴,西南风2级,9.0
